Gene Accession	Gene Symbol	Human gene	Family	Availability	pigmentation phenotype	normal phenotype	nervous system phenotype	renal/urinary system phenotype	muscle phenotype	liver/biliary system phenotype	limbs/digits/tail phenotype	adipose tissue phenotype	homeostasis/metabolism phenotype	hearing/vestibular/ear phenotype	growth/size/body region phenotype	endocrine/exocrine gland phenotype	embryo phenotype	digestive/alimentary phenotype	craniofacial phenotype	cellular phenotype	cardiovascular system phenotype	behavior/neurological phenotype	immune system phenotype	respiratory system phenotype	reproductive system phenotype	skeleton phenotype	vision/eye phenotype	taste/olfaction phenotype	hematopoietic system phenotype	mortality/aging	integument phenotype
MGI:1916812	Cdk13	CDK13	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call
MGI:894318	Cdk14	CDK14	Kinase	ES Cells|Mice tm1a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:3583944	Cdk15	CDK15	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:97516	Cdk16	CDK16	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:97517	Cdk17	CDK17	Kinase	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:97518	Cdk18	CDK18	Kinase	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1925584	Cdk19	CDK19	Kinase	Mice em1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data
MGI:2145349	Cdk20	CDK20	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1918341	Cdkl1	CDKL1	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1858227	Cdkl2	CDKL2	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Could not analyse	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:2388268	Cdkl3	CDKL3	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3587025	Cdkl4	CDKL4	Kinase	ES Cells|Mice tm1.1|Mice tm1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data
MGI:1278336	Cdkl5	CDKL5	Kinase	phenotype data available	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	Deviance Significant	Data analysed, no significant call	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1098670	Clk3	CLK3	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1098551	Clk4	CLK4	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1914676	Coq8a	COQ8A	Kinase	ES Cells|Mice tm1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1924139	Coq8b	COQ8B	Kinase	ES Cells|Mice tm1b|Mice tm1a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	Deviance Significant	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call
MGI:1934950	Csnk1a1	CSNK1A1	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2660884	Csnk1g1	CSNK1G1	Kinase	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1920014	Csnk1g2	CSNK1G2	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	Deviance Significant	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:1917675	Csnk1g3	CSNK1G3	Kinase	ES Cells|Mice tm1a|phenotype data available	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	Could not analyse	Deviance Significant	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data
MGI:88543	Csnk2a1	CSNK2A1	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:88547	Csnk2a2	CSNK2A2	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1330861	Dclk1	DCLK1	Kinase	ES Cells|Mice tm1a|phenotype data available	No data	No data	No data	No data	No data	No data	Could not analyse	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Deviance Significant	Could not analyse	No data
MGI:3039580	Dclk3	DCLK3	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1925064	Dstyk	DSTYK	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1330302	Dyrk1b	DYRK1B	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Deviance Significant	Data analysed, no significant call
MGI:1330301	Dyrk2	DYRK2	Kinase	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	Data analysed, no significant call
MGI:1330300	Dyrk3	DYRK3	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1330292	Dyrk4	DYRK4	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1195261	Eef2k	EEF2K	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1349436	Ern2	ERN2	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1314873	Hipk1	HIPK1	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1314882	Hipk3	HIPK3	Kinase	ES Cells|Mice tm1a|Mice em1|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Deviance Significant	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Deviance Significant	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	No data	No data	Deviance Significant	No data	Data analysed, no significant call
MGI:2685008	Hipk4	HIPK4	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:1934157	Ick	ICK	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:3036247	Lmtk2	LMTK2	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3039582	Lmtk3	LMTK3	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2142227	Lrrk1	LRRK1	Kinase	ES Cells|Mice tm1a|Mice tm1b|Mice tm1c|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	No data	Deviance Significant	No data	Data analysed, no significant call	Deviance Significant	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:96840	Ltk	LTK	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1346879	Map3k10	MAP3K10	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:1858204	Map3k14	MAP3K14	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2448588	Map3k15	MAP3K15	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2385307	Map3k21	MAP3K21	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2652894	Mapk15	MAPK15	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data
MGI:2444559	Mapk4	MAPK4	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2664902	Mark1	MARK1	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1341865	Mark3	MARK3	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1920955	Mark4	MARK4	Kinase	ES Cells|Mice em1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call
MGI:894676	Mast2	MAST2	Kinase	ES Cells|Mice tm1a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:2683541	Mast3	MAST3	Kinase	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	Deviance Significant	No data	No data	Data analysed, no significant call	No data	No data	No data	No data	Data analysed, no significant call	No data
MGI:1918885	Mast4	MAST4	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:894316	Mknk1	MKNK1	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:894279	Mknk2	MKNK2	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:97303	Nek1	NEK1	Kinase	ES Cells|Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685128	Nek10	NEK10	Kinase	ES Cells|Mice tm1b|Mice tm1a|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant
MGI:2442276	Nek11	NEK11	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	No data	Deviance Significant	Data analysed, no significant call	Could not analyse	No data	No data	No data	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data
MGI:1344371	Nek3	NEK3	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data
MGI:1344404	Nek4	NEK4	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2142824	Nek5	NEK5	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1891638	Nek6	NEK6	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1890645	Nek7	NEK7	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call
MGI:1890646	Nek8	NEK8	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2387995	Nek9	NEK9	Kinase	ES Cells|Mice tm1a|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	No data	Could not analyse	No data	No data	No data	No data	Deviance Significant	No data	No data	No data	No data	No data	Deviance Significant	Deviance Significant	No data
MGI:2442399	Nim1k	NIM1K	Kinase	Mice em1|phenotype data available	No data	No data	Data analysed, no significant call	No data	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data
MGI:2385017	Nrbp2	NRBP2	Kinase	ES Cells|Mice tm2b|Mice tm2a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:1351326	Nrk	NRK	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1921387	Nuak2	NUAK2	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2681862	Obscn	OBSCN	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1339656	Pak3	PAK3	Kinase	ES Cells|Mice tm1a	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2679420	Pak6	PAK6	Kinase	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	Could not analyse	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Deviance Significant
MGI:1920334	Pak7	PAK5	Kinase	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1919837	Pan3	PAN3	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2385213	Pdik1l	PDIK1L	Kinase	ES Cells|Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Deviance Significant	No data	Deviance Significant	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:97579	Phkg1	PHKG1	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1916211	Phkg2	PHKG2	Kinase	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call
MGI:2448506	Pi4ka	PI4KA	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	No data	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call
MGI:2685045	Pik3c2b	PIK3C2B	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1203730	Pik3c2g	PIK3C2G	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2152214	Pip4k2c	PIP4K2C	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data
MGI:107929	Pip5k1a	PIP5K1A	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:107930	Pip5k1b	PIP5K1B	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1298224	Pip5k1c	PIP5K1C	Kinase	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Deviance Significant	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call
